confocal_ovules_2D_A,confocal_ovules_2D_S,confocal_ovules_2D_M,confocal_PNAS_2d_A,confocal_PNAS_2d_S,confocal_PNAS_2d_M,hypocotyl_20210311_A,hypocotyl_20210311_S,hypocotyl_20210311_M,Model1_20210816_A,Model1_20210816_S,Model1_20210816_M,Model2_20210816_A,Model2_20210816_S,Model2_20210816_M,full_20210818_A,full_20210818_S,full_20210818_M,model_20210910_A,model_20210910_S,model_20210910_M
0.163627504,0.166050728,1.764654278,0.050039303,0.11199024,0.758976467,0.063281833,0.282356379,0.324660655,0.03481591,0.163281503,0.336965299,0.064525508,0.251569984,0.315590622,0.033095335,0.162751853,0.330026162,0.037987388,0.103932806,0.236589407
0.338053137,0.151670837,2.692454447,0.072597379,0.183800231,0.975392058,0.148713817,0.512777172,0.375223587,0.102482416,0.361524543,0.35477175,0.114213565,0.399166208,0.363046122,0.126891359,0.337008563,0.268387436,0.119727922,0.414657587,0.338333171
0.467255742,0.15922608,2.803583429,0.22377003,0.119724777,1.131833202,0.052194964,0.256735335,0.316295897,0.042511515,0.177429503,0.339960037,0.031838985,0.167351047,0.278812092,0.032662954,0.128622611,0.350519961,0.007005903,0.001940962,0.157861914
0.262776674,0.136779198,2.292603526,0.047271031,0.104772456,0.85960367,0.074272178,0.309806241,0.351374567,0.020139537,0.122783826,0.348256154,0.016713117,0.093970154,0.335942263,0.021849566,0.108581037,0.352516816,0.013807209,0.001532426,0.271413308
0.153344994,0.152486264,1.600859668,0.045801726,0.114683731,0.669415436,0.098090596,0.392977521,0.295383364,0.044071619,0.200243419,0.301903318,0.069641358,0.287115979,0.286105826,0.041935133,0.187404663,0.310714062,0.043364405,0.101581097,0.252974393
